,Area,Mean,Min,Max
1,1.392,38480.465,6373,65509
2,1.392,31407.191,12009,44888
3,1.392,3947.171,1235,7893
4,1.392,4808.276,1927,12394
5,1.392,13654.166,8945,21444
6,1.392,15616.131,10559,22119
7,1.392,14231.023,8867,20843
8,1.392,13175.543,8281,18263
9,1.392,11395.7,6928,17340
10,1.392,12830.957,7667,28358
11,1.392,11440.024,7923,17545
12,1.392,10752.653,6692,16693
13,1.392,7767.384,4190,14285
14,1.392,8796.201,4658,15737
15,1.392,8467.454,4355,20290
16,1.392,6223.243,3166,17742
17,1.392,5427.404,2593,13536
18,1.392,5943.567,2680,16994
19,1.392,5035.367,1868,18929
20,1.392,3516.976,1043,6941
21,1.392,5554.14,2343,13997
22,1.392,5790.782,2196,17690
23,1.392,14406.695,1754,12067
24,1.392,14406.695,8686,23017
25,1.392,14388.531,8720,24515
26,1.392,12813.444,7179,19142
27,1.392,13080.325,7128,39017
28,1.392,14183.843,7003,21333
29,1.392,13600.857,8549,21365
30,1.392,13330.608,8532,30432
31,1.392,14900.421,8245,20990
32,1.392,12445.152,5701,18887
33,1.392,16132.095,9667,23470
34,1.392,18700.3,7817,28365
35,1.392,16048.377,8210,29434
36,1.392,15330.436,9106,23054
